session_id,converted,revenue,n_clicks,mean_price,max_price,n_models
1,1,351,8,43.875,57,8
2,1,443,9,49.22222222222222,67,8
3,0,134,3,44.666666666666664,48,3
4,0,181,4,45.25,62,4
5,0,57,1,57.0,57,1
6,0,119,3,39.666666666666664,48,3
7,1,288,8,36.0,52,8
8,0,293,8,36.625,57,8
9,0,123,3,41.0,57,3
10,0,227,5,45.4,57,5
11,0,72,1,72.0,72,1
12,1,351,7,50.142857142857146,57,6
13,0,114,3,38.0,43,3
14,0,43,1,43.0,43,1
15,0,971,20,48.55,67,20
16,1,28,1,28.0,28,1
17,0,181,4,45.25,57,4
18,0,263,5,52.6,82,5
19,0,129,3,43.0,48,3
20,0,71,2,35.5,38,2
21,0,214,5,42.8,67,5
22,0,138,3,46.0,62,3
23,1,33,1,33.0,33,1
24,1,199,5,39.8,52,5
25,0,38,1,38.0,38,1
26,0,100,2,50.0,62,2
27,0,234,5,46.8,57,5
28,1,194,4,48.5,65,4
29,0,133,3,44.333333333333336,62,3
30,0,404,10,40.4,62,10
31,0,393,9,43.666666666666664,52,7
32,1,114,3,38.0,43,3
33,1,680,16,42.5,72,15
34,0,57,1,57.0,57,1
35,0,252,5,50.4,62,5
36,1,66,2,33.0,33,1
37,1,252,5,50.4,62,5
38,1,181,4,45.25,62,4
39,0,76,2,38.0,48,2
40,0,257,6,42.833333333333336,62,6
41,0,61,2,30.5,33,2
42,0,43,1,43.0,43,1
43,0,1045,20,52.25,62,11
44,0,443,9,49.22222222222222,67,9
45,0,131,3,43.666666666666664,60,3
46,0,62,1,62.0,62,1
47,1,195,4,48.75,67,4
48,1,114,3,38.0,38,3
49,0,1218,27,45.111111111111114,82,27
50,0,195,4,48.75,62,4
51,0,234,4,58.5,72,3
52,1,385,9,42.77777777777778,67,8
53,0,71,2,35.5,43,2
54,1,119,3,39.666666666666664,43,3
55,1,281,7,40.142857142857146,48,6
56,1,277,7,39.57142857142857,60,7
57,1,99,3,33.0,43,3
58,1,176,4,44.0,62,4
59,0,55,1,55.0,55,1
60,0,285,6,47.5,57,5
61,0,195,4,48.75,67,4
63,0,147,4,36.75,48,4
64,0,735,13,56.53846153846154,67,10
65,0,150,3,50.0,62,3
66,0,76,2,38.0,38,2
67,0,798,17,46.94117647058823,82,17
68,0,43,1,43.0,43,1
69,0,530,11,48.18181818181818,57,11
70,0,152,3,50.666666666666664,57,3
71,0,33,1,33.0,33,1
72,0,48,1,48.0,48,1
73,0,38,1,38.0,38,1
74,1,228,6,38.0,48,6
75,0,52,1,52.0,52,1
76,1,405,10,40.5,48,9
77,0,185,4,46.25,52,4
78,0,33,1,33.0,33,1
79,1,374,10,37.4,72,10
80,1,76,2,38.0,43,2
81,0,233,5,46.6,67,4
82,1,319,7,45.57142857142857,62,7
83,1,339,8,42.375,48,7
84,0,210,4,52.5,67,4
85,0,28,1,28.0,28,1
86,0,370,10,37.0,62,10
87,1,176,4,44.0,62,4
88,1,167,4,41.75,48,4
89,0,50,1,50.0,50,1
90,1,38,1,38.0,38,1
91,1,191,4,47.75,67,4
92,0,38,1,38.0,38,1
94,1,400,9,44.44444444444444,57,9
95,0,96,2,48.0,48,2
96,0,242,5,48.4,57,5
97,1,43,1,43.0,43,1
98,0,28,1,28.0,28,1
99,1,419,9,46.55555555555556,62,8
100,1,375,10,37.5,48,10
101,0,57,1,57.0,57,1
102,1,167,4,41.75,48,3
103,0,114,3,38.0,38,2
104,0,181,3,60.333333333333336,67,3
105,0,67,1,67.0,67,1
106,1,103,2,51.5,65,2
107,1,743,20,37.15,62,18
108,1,76,2,38.0,38,2
109,0,143,3,47.666666666666664,62,3
110,1,162,4,40.5,43,4
111,0,62,1,62.0,62,1
112,1,266,6,44.333333333333336,62,6
113,0,343,7,49.0,62,6
114,0,76,2,38.0,48,2
115,0,71,2,35.5,38,2
116,0,100,2,50.0,62,2
118,0,38,1,38.0,38,1
119,0,376,8,47.0,62,8
120,0,323,6,53.833333333333336,62,5
121,0,294,8,36.75,48,6
122,1,119,3,39.666666666666664,43,3
123,1,251,7,35.857142857142854,43,7
124,1,308,7,44.0,62,7
125,1,1574,34,46.294117647058826,67,33
126,0,76,2,38.0,48,2
127,0,202,5,40.4,50,4
128,0,28,1,28.0,28,1
130,1,157,4,39.25,43,4
131,0,81,2,40.5,48,2
132,0,242,5,48.4,67,5
133,0,224,4,56.0,67,4
134,0,43,1,43.0,43,1
135,1,147,4,36.75,38,4
136,0,62,1,62.0,62,1
137,0,124,3,41.333333333333336,43,3
138,1,561,12,46.75,62,8
139,1,310,6,51.666666666666664,72,5
140,1,71,2,35.5,43,2
141,0,137,4,34.25,48,4
142,1,28,1,28.0,28,1
143,1,181,4,45.25,57,4
144,1,76,2,38.0,38,2
145,0,184,3,61.333333333333336,72,3
146,0,592,12,49.333333333333336,72,8
147,1,38,1,38.0,38,1
148,0,248,5,49.6,67,5
149,1,162,4,40.5,43,4
151,0,23,1,23.0,23,1
152,1,162,4,40.5,48,4
153,1,224,6,37.333333333333336,67,5
154,0,162,3,54.0,62,3
155,0,95,2,47.5,62,2
157,1,887,22,40.31818181818182,62,21
158,0,38,1,38.0,38,1
159,1,95,2,47.5,62,2
160,1,129,3,43.0,48,3
161,0,33,1,33.0,33,1
162,0,127,4,31.75,38,3
163,0,109,3,36.333333333333336,48,3
164,0,71,2,35.5,43,2
165,0,199,4,49.75,57,4
166,0,38,1,38.0,38,1
167,0,124,3,41.333333333333336,48,3
168,1,1426,33,43.21212121212121,57,25
169,0,67,1,67.0,67,1
170,0,385,8,48.125,62,8
171,0,282,6,47.0,62,5
172,0,167,3,55.666666666666664,67,3
173,1,949,21,45.19047619047619,67,18
174,1,400,10,40.0,48,7
175,0,57,1,57.0,57,1
176,0,67,1,67.0,67,1
177,1,124,3,41.333333333333336,48,3
179,0,171,3,57.0,62,3
180,0,33,1,33.0,33,1
181,1,477,11,43.36363636363637,62,10
182,1,264,8,33.0,43,7
183,0,752,16,47.0,82,16
184,1,1459,36,40.52777777777778,62,36
185,1,28,1,28.0,28,1
186,1,225,7,32.142857142857146,52,7
187,1,284,8,35.5,43,8
188,0,676,15,45.06666666666667,82,12
189,0,38,1,38.0,38,1
190,1,139,4,34.75,48,4
191,0,57,1,57.0,57,1
192,0,756,15,50.4,82,15
193,0,219,5,43.8,62,5
194,1,332,9,36.888888888888886,48,9
195,1,185,5,37.0,38,5
196,1,1118,27,41.407407407407405,67,26
197,0,271,6,45.166666666666664,62,6
198,1,234,5,46.8,57,5
199,0,48,1,48.0,48,1
200,0,254,6,42.333333333333336,82,6
201,1,859,22,39.04545454545455,62,19
202,0,171,3,57.0,67,3
203,0,76,2,38.0,38,2
204,0,28,1,28.0,28,1
205,0,95,2,47.5,57,2
206,0,376,8,47.0,62,8
207,1,414,10,41.4,52,9
208,0,38,1,38.0,38,1
209,0,62,1,62.0,62,1
210,0,322,8,40.25,62,8
211,0,656,15,43.733333333333334,82,15
212,1,735,20,36.75,48,16
213,1,423,9,47.0,62,8
214,0,252,5,50.4,52,3
215,1,157,4,39.25,48,3
216,0,236,5,47.2,62,5
217,0,295,6,49.166666666666664,62,6
218,0,315,9,35.0,57,6
219,1,81,2,40.5,43,2
220,1,1188,25,47.52,82,18
221,0,48,1,48.0,48,1
222,1,300,7,42.857142857142854,62,7
225,0,222,6,37.0,52,6
226,0,176,4,44.0,57,4
227,0,52,1,52.0,52,1
228,0,76,2,38.0,43,2
229,0,443,8,55.375,82,8
230,1,446,9,49.55555555555556,67,8
231,0,259,7,37.0,52,7
232,1,270,6,45.0,62,6
233,1,170,5,34.0,38,5
234,1,321,8,40.125,50,8
235,0,104,3,34.666666666666664,48,3
236,1,431,11,39.18181818181818,57,9
237,0,62,1,62.0,62,1
238,1,191,4,47.75,67,4
239,1,1038,26,39.92307692307692,57,24
240,0,138,3,46.0,52,3
241,0,38,1,38.0,38,1
242,0,371,8,46.375,67,8
243,1,28,1,28.0,28,1
244,1,535,11,48.63636363636363,82,10
245,0,86,2,43.0,48,2
246,0,57,1,57.0,57,1
247,0,610,15,40.666666666666664,48,15
248,1,365,9,40.55555555555556,57,9
249,1,109,3,36.333333333333336,43,3
250,1,430,9,47.77777777777778,82,7
251,0,124,2,62.0,67,2
252,0,62,1,62.0,62,1
253,0,763,16,47.6875,82,13
254,0,708,15,47.2,82,15
255,0,28,1,28.0,28,1
256,0,109,2,54.5,57,2
257,0,205,5,41.0,48,5
258,0,119,2,59.5,67,2
261,0,500,10,50.0,67,10
262,1,484,11,44.0,65,11
263,0,62,1,62.0,62,1
264,1,322,9,35.77777777777778,48,9
266,1,195,5,39.0,43,5
267,1,499,12,41.583333333333336,62,10
268,1,109,3,36.333333333333336,48,3
269,0,43,1,43.0,43,1
270,1,224,5,44.8,52,3
271,0,119,3,39.666666666666664,48,3
272,0,43,1,43.0,43,1
273,1,746,16,46.625,62,13
274,0,82,1,82.0,82,1
275,1,633,14,45.214285714285715,62,11
276,1,166,4,41.5,72,4
277,1,807,20,40.35,57,20
278,0,697,14,49.785714285714285,82,12
279,1,701,18,38.94444444444444,57,9
281,0,451,9,50.111111111111114,62,9
282,1,243,5,48.6,67,4
283,0,81,2,40.5,48,2
285,0,57,1,57.0,57,1
286,1,81,2,40.5,43,2
287,0,504,11,45.81818181818182,62,10
288,0,124,2,62.0,67,2
289,1,153,3,51.0,62,3
290,1,117,4,29.25,38,4
291,1,170,5,34.0,48,4
292,0,1681,39,43.1025641025641,62,33
293,0,55,1,55.0,55,1
294,0,138,3,46.0,52,3
295,1,218,7,31.142857142857142,38,6
296,1,190,5,38.0,43,4
297,0,48,1,48.0,48,1
298,1,38,1,38.0,38,1
299,0,152,3,50.666666666666664,67,3
300,0,62,1,62.0,62,1
301,1,254,8,31.75,48,8
302,1,46,2,23.0,23,1
303,0,18,1,18.0,18,1
304,1,275,6,45.833333333333336,67,6
305,1,484,11,44.0,62,11
306,1,167,4,41.75,43,4
307,0,294,7,42.0,62,7
308,1,33,1,33.0,33,1
309,0,38,1,38.0,38,1
310,0,366,7,52.285714285714285,67,7
311,0,52,1,52.0,52,1
312,1,114,3,38.0,43,3
313,0,62,1,62.0,62,1
314,1,427,9,47.44444444444444,65,9
316,0,183,5,36.6,48,5
317,0,28,1,28.0,28,1
318,1,48,1,48.0,48,1
319,0,81,2,40.5,48,2
320,1,300,7,42.857142857142854,67,6
321,1,997,23,43.34782608695652,62,22
323,0,33,1,33.0,33,1
324,0,239,6,39.833333333333336,62,6
325,0,437,10,43.7,62,9
326,1,337,8,42.125,57,8
327,1,469,12,39.083333333333336,62,12
328,0,177,3,59.0,82,3
329,0,156,3,52.0,60,3
330,1,261,6,43.5,67,6
331,1,242,6,40.333333333333336,57,6
332,0,492,11,44.72727272727273,72,11
333,0,196,3,65.33333333333333,67,3
334,0,153,4,38.25,52,4
335,1,319,7,45.57142857142857,57,7
336,1,264,6,44.0,67,6
337,0,352,7,50.285714285714285,62,7
338,0,52,1,52.0,52,1
339,0,172,3,57.333333333333336,67,3
340,0,172,3,57.333333333333336,67,3
341,1,491,11,44.63636363636363,72,10
342,1,1097,28,39.17857142857143,62,18
343,1,147,4,36.75,43,4
344,0,210,4,52.5,72,4
345,0,276,7,39.42857142857143,48,5
347,0,172,3,57.333333333333336,72,2
348,1,289,8,36.125,48,8
349,0,28,1,28.0,28,1
350,1,108,3,36.0,57,3
351,0,43,1,43.0,43,1
352,0,57,1,57.0,57,1
353,0,81,2,40.5,43,2
354,1,43,1,43.0,43,1
355,0,302,6,50.333333333333336,62,6
356,1,119,3,39.666666666666664,43,2
357,1,142,4,35.5,43,4
358,0,175,5,35.0,43,5
359,0,28,1,28.0,28,1
360,0,805,18,44.72222222222222,72,17
361,0,43,1,43.0,43,1
362,1,71,2,35.5,38,2
363,1,272,6,45.333333333333336,82,6
364,1,128,3,42.666666666666664,62,3
365,1,308,8,38.5,62,8
366,0,223,5,44.6,57,5
367,0,234,4,58.5,67,4
368,0,38,1,38.0,38,1
369,1,184,4,46.0,60,3
370,1,274,8,34.25,43,7
371,1,209,5,41.8,67,5
372,0,286,5,57.2,67,5
373,1,28,1,28.0,28,1
374,0,57,1,57.0,57,1
375,1,486,10,48.6,67,9
376,0,124,3,41.333333333333336,43,3
377,1,142,4,35.5,43,4
378,1,38,1,38.0,38,1
379,0,38,1,38.0,38,1
380,0,299,7,42.714285714285715,62,7
381,0,277,7,39.57142857142857,57,7
382,0,973,21,46.333333333333336,77,20
383,1,328,7,46.857142857142854,72,6
384,0,76,2,38.0,38,1
385,0,62,1,62.0,62,1
386,1,436,10,43.6,62,10
387,0,71,2,35.5,38,2
389,0,38,1,38.0,38,1
390,1,38,1,38.0,38,1
391,0,732,15,48.8,67,13
392,0,95,2,47.5,62,2
393,0,50,1,50.0,50,1
394,1,261,6,43.5,72,6
395,0,361,8,45.125,57,8
396,0,57,1,57.0,57,1
397,0,210,4,52.5,72,4
399,0,43,1,43.0,43,1
400,0,52,1,52.0,52,1
402,0,43,1,43.0,43,1
403,0,38,1,38.0,38,1
405,0,62,1,62.0,62,1
406,0,48,1,48.0,48,1
407,0,67,1,67.0,67,1
408,0,615,12,51.25,67,11
409,0,48,1,48.0,48,1
410,0,38,1,38.0,38,1
411,0,334,7,47.714285714285715,62,7
412,0,62,1,62.0,62,1
413,0,128,3,42.666666666666664,52,3
414,0,136,3,45.333333333333336,50,2
415,0,228,4,57.0,62,3
416,1,481,9,53.44444444444444,82,9
417,1,1000,22,45.45454545454545,82,19
418,0,76,2,38.0,38,2
419,0,122,2,61.0,62,2
420,0,1002,22,45.54545454545455,62,21
421,0,148,3,49.333333333333336,82,3
422,1,502,12,41.833333333333336,67,12
423,0,182,5,36.4,55,5
424,0,271,7,38.714285714285715,43,7
425,0,271,6,45.166666666666664,72,6
426,0,344,7,49.142857142857146,72,6
427,0,100,2,50.0,62,2
428,1,142,4,35.5,43,4
429,0,308,7,44.0,62,7
430,0,38,1,38.0,38,1
431,1,81,2,40.5,43,2
432,0,52,1,52.0,52,1
433,1,838,21,39.904761904761905,62,21
434,1,91,2,45.5,48,2
435,1,234,5,46.8,67,4
436,0,38,1,38.0,38,1
437,0,54,2,27.0,28,2
438,0,120,2,60.0,82,2
439,0,143,3,47.666666666666664,72,3
440,0,104,2,52.0,52,1
441,0,316,7,45.142857142857146,62,7
442,0,38,1,38.0,38,1
443,0,172,5,34.4,48,4
444,0,256,5,51.2,62,4
445,0,43,1,43.0,43,1
446,0,138,3,46.0,52,3
447,0,66,2,33.0,33,2
448,0,96,2,48.0,48,2
449,1,71,2,35.5,38,2
450,1,28,1,28.0,28,1
451,1,554,12,46.166666666666664,65,12
452,0,90,2,45.0,62,2
453,1,122,4,30.5,38,2
454,1,236,7,33.714285714285715,43,6
455,0,95,2,47.5,52,2
456,1,549,13,42.23076923076923,52,11
457,0,95,2,47.5,52,2
458,0,54,2,27.0,28,2
459,1,404,9,44.888888888888886,62,9
460,0,462,10,46.2,62,10
461,1,123,3,41.0,62,3
462,0,1517,32,47.40625,67,20
463,1,243,6,40.5,48,6
464,0,239,5,47.8,72,5
465,1,147,3,49.0,57,3
466,1,363,8,45.375,62,8
467,0,105,2,52.5,62,2
468,0,48,1,48.0,48,1
469,0,166,4,41.5,52,4
470,0,57,1,57.0,57,1
471,0,261,5,52.2,57,5
472,1,380,8,47.5,62,7
473,0,147,4,36.75,48,2
474,0,227,5,45.4,55,5
475,0,62,1,62.0,62,1
476,0,118,3,39.333333333333336,57,3
477,0,127,4,31.75,33,4
478,0,571,12,47.583333333333336,62,11
479,0,43,1,43.0,43,1
480,1,271,6,45.166666666666664,67,5
481,1,410,9,45.55555555555556,62,9
482,1,300,7,42.857142857142854,72,6
483,0,105,2,52.5,57,2
484,0,114,3,38.0,48,3
485,0,438,11,39.81818181818182,62,11
486,1,556,14,39.714285714285715,52,13
487,1,166,4,41.5,57,4
488,1,372,9,41.333333333333336,62,8
489,0,100,2,50.0,52,2
490,0,646,12,53.833333333333336,82,7
491,0,67,1,67.0,67,1
492,1,66,2,33.0,38,2
493,0,991,21,47.19047619047619,67,21
494,0,147,3,49.0,52,3
495,0,43,1,43.0,43,1
496,0,90,2,45.0,62,2
497,0,138,3,46.0,62,3
498,0,882,18,49.0,77,17
499,1,46,2,23.0,23,1
500,0,52,1,52.0,52,1
501,0,1259,28,44.964285714285715,67,27
502,1,76,2,38.0,38,1
503,0,238,5,47.6,67,5
504,0,185,4,46.25,57,4
505,1,147,3,49.0,62,3
506,0,224,4,56.0,62,3
507,0,98,2,49.0,50,2
508,0,209,6,34.833333333333336,52,6
509,0,219,5,43.8,67,4
510,0,66,2,33.0,33,1
511,0,157,4,39.25,48,4
512,1,930,21,44.285714285714285,82,12
513,1,1098,29,37.86206896551724,57,27
514,1,875,20,43.75,62,20
515,1,110,2,55.0,72,2
516,1,314,6,52.333333333333336,62,5
517,0,289,7,41.285714285714285,62,6
518,0,457,9,50.77777777777778,72,8
519,0,62,1,62.0,62,1
520,0,243,6,40.5,48,5
521,0,114,2,57.0,57,2
522,1,593,15,39.53333333333333,57,12
523,1,275,7,39.285714285714285,57,7
524,0,105,2,52.5,57,2
525,1,852,19,44.8421052631579,67,15
526,0,710,15,47.333333333333336,62,15
527,0,28,1,28.0,28,1
528,0,90,2,45.0,52,2
529,1,199,5,39.8,62,5
530,0,224,4,56.0,62,4
531,1,473,10,47.3,62,9
532,1,110,2,55.0,72,2
533,0,230,6,38.333333333333336,57,6
534,0,381,8,47.625,62,8
535,0,81,2,40.5,43,2
536,0,193,6,32.166666666666664,43,6
537,0,133,3,44.333333333333336,62,3
538,0,96,2,48.0,48,2
539,0,769,19,40.473684210526315,60,15
540,1,219,5,43.8,72,5
541,0,119,3,39.666666666666664,43,3
542,1,965,23,41.95652173913044,67,23
543,0,43,1,43.0,43,1
544,1,445,11,40.45454545454545,77,11
545,0,57,1,57.0,57,1
546,0,90,2,45.0,52,2
547,1,194,5,38.8,52,5
548,1,142,4,35.5,43,4
549,0,28,1,28.0,28,1
550,0,338,6,56.333333333333336,62,5
551,0,133,3,44.333333333333336,52,3
552,0,28,1,28.0,28,1
553,1,1340,29,46.206896551724135,62,27
554,0,143,3,47.666666666666664,62,3
555,0,260,7,37.142857142857146,57,7
